id,description,url
SDL_AUDIO_FRAMESIZE,"Calculate the size of each audio frame (in bytes) from an [SDL_AudioSpec](SDL_AudioSpec).
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_FRAMESIZE
SDL_AUDIO_ISBIGENDIAN,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents bigendian data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISBIGENDIAN
SDL_AUDIO_ISFLOAT,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents floating point data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISFLOAT
SDL_AUDIO_ISINT,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents integer data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISINT
SDL_AUDIO_ISLITTLEENDIAN,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents littleendian data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISLITTLEENDIAN
SDL_AUDIO_ISSIGNED,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents signed data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISSIGNED
SDL_AUDIO_ISUNSIGNED,"Determine if an [SDL_AudioFormat](SDL_AudioFormat) represents unsigned data.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_ISUNSIGNED
SDL_AUDIO_MASK_BIG_ENDIAN,"Mask of bits in an [SDL_AudioFormat](SDL_AudioFormat) that contain the bigendian flag.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_MASK_BIG_ENDIAN
SDL_AUDIO_MASK_BITSIZE,"Mask of bits in an [SDL_AudioFormat](SDL_AudioFormat) that contains the format bit size.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_MASK_BITSIZE
SDL_AUDIO_MASK_FLOAT,"Mask of bits in an [SDL_AudioFormat](SDL_AudioFormat) that contain the floating point flag.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_MASK_FLOAT
SDL_AUDIO_MASK_SIGNED,"Mask of bits in an [SDL_AudioFormat](SDL_AudioFormat) that contain the signed data flag.
",https://wiki.libsdl.org/SDL3/SDL_AUDIO_MASK_SIGNED
SDL_AVX2_INTRINSICS,"Defined if (and only if) the compiler supports Intel AVX2 intrinsics.
",https://wiki.libsdl.org/SDL3/SDL_AVX2_INTRINSICS
SDL_AVX512F_INTRINSICS,"Defined if (and only if) the compiler supports Intel AVX-512F intrinsics.
",https://wiki.libsdl.org/SDL3/SDL_AVX512F_INTRINSICS
SDL_AVX_INTRINSICS,"Defined if (and only if) the compiler supports Intel AVX intrinsics.
",https://wiki.libsdl.org/SDL3/SDL_AVX_INTRINSICS
SDL_AcquireCameraFrame,"Acquire a frame.
",https://wiki.libsdl.org/SDL3/SDL_AcquireCameraFrame
SDL_AcquireGPUCommandBuffer,"Acquire a command buffer.
",https://wiki.libsdl.org/SDL3/SDL_AcquireGPUCommandBuffer
SDL_AcquireGPUSwapchainTexture,"Acquire a texture to use in presentation.
",https://wiki.libsdl.org/SDL3/SDL_AcquireGPUSwapchainTexture
SDL_AddAtomicInt,"Add to an atomic variable.
",https://wiki.libsdl.org/SDL3/SDL_AddAtomicInt
SDL_AddEventWatch,"Add a callback to be triggered when an event is added to the event queue.
",https://wiki.libsdl.org/SDL3/SDL_AddEventWatch
SDL_AddGamepadMapping,"Add support for gamepads that SDL is unaware of or change the binding of an existing gamepad.
",https://wiki.libsdl.org/SDL3/SDL_AddGamepadMapping
SDL_AddGamepadMappingsFromFile,"Load a set of gamepad mappings from a file.
",https://wiki.libsdl.org/SDL3/SDL_AddGamepadMappingsFromFile
SDL_AddGamepadMappingsFromIO,"Load a set of gamepad mappings from an [SDL_IOStream](SDL_IOStream).
",https://wiki.libsdl.org/SDL3/SDL_AddGamepadMappingsFromIO
SDL_AddHintCallback,"Add a function to watch a particular hint.
",https://wiki.libsdl.org/SDL3/SDL_AddHintCallback
SDL_AddSurfaceAlternateImage,"Add an alternate version of a surface.
",https://wiki.libsdl.org/SDL3/SDL_AddSurfaceAlternateImage
SDL_AddTimer,"Call a callback function at a future time.
",https://wiki.libsdl.org/SDL3/SDL_AddTimer
SDL_AddTimerNS,"Call a callback function at a future time.
",https://wiki.libsdl.org/SDL3/SDL_AddTimerNS
SDL_AddVulkanRenderSemaphores,"Add a set of synchronization semaphores for the current frame.
",https://wiki.libsdl.org/SDL3/SDL_AddVulkanRenderSemaphores
SDL_AppEvent,"App-implemented event entry point for [SDL_MAIN_USE_CALLBACKS](SDL_MAIN_USE_CALLBACKS) apps.
",https://wiki.libsdl.org/SDL3/SDL_AppEvent
SDL_AppEvent_func,"Function pointer typedef for [SDL_AppEvent](SDL_AppEvent).
",https://wiki.libsdl.org/SDL3/SDL_AppEvent_func
SDL_AppInit,"App-implemented initial entry point for [SDL_MAIN_USE_CALLBACKS](SDL_MAIN_USE_CALLBACKS) apps.
",https://wiki.libsdl.org/SDL3/SDL_AppInit
SDL_AppInit_func,"Function pointer typedef for [SDL_AppInit](SDL_AppInit).
",https://wiki.libsdl.org/SDL3/SDL_AppInit_func
SDL_AppIterate,"App-implemented iteration entry point for [SDL_MAIN_USE_CALLBACKS](SDL_MAIN_USE_CALLBACKS) apps.
",https://wiki.libsdl.org/SDL3/SDL_AppIterate
SDL_AppIterate_func,"Function pointer typedef for [SDL_AppIterate](SDL_AppIterate).
",https://wiki.libsdl.org/SDL3/SDL_AppIterate_func
SDL_AppQuit,"App-implemented deinit entry point for [SDL_MAIN_USE_CALLBACKS](SDL_MAIN_USE_CALLBACKS) apps.
",https://wiki.libsdl.org/SDL3/SDL_AppQuit
SDL_AppQuit_func,"Function pointer typedef for [SDL_AppQuit](SDL_AppQuit).
",https://wiki.libsdl.org/SDL3/SDL_AppQuit_func
SDL_AppResult,"Return values for optional main callbacks.
",https://wiki.libsdl.org/SDL3/SDL_AppResult
SDL_ArrayOrder,"Array component order, low byte -> high byte.
",https://wiki.libsdl.org/SDL3/SDL_ArrayOrder
SDL_AssertBreakpoint,"The macro used when an assertion triggers a breakpoint.
",https://wiki.libsdl.org/SDL3/SDL_AssertBreakpoint
SDL_AssertData,"Information about an assertion failure.
",https://wiki.libsdl.org/SDL3/SDL_AssertData
SDL_AssertState,"Possible outcomes from a triggered assertion.
",https://wiki.libsdl.org/SDL3/SDL_AssertState
SDL_AssertionHandler,"A callback that fires when an SDL assertion fails.
",https://wiki.libsdl.org/SDL3/SDL_AssertionHandler
SDL_AsyncIO,"The asynchronous I/O operation structure.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIO
SDL_AsyncIOFromFile,"Use this function to create a new [SDL_AsyncIO](SDL_AsyncIO) object for reading from and/or writing to a named file.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIOFromFile
SDL_AsyncIOOutcome,"Information about a completed asynchronous I/O request.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIOOutcome
SDL_AsyncIOQueue,"A queue of completed asynchronous I/O tasks.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIOQueue
SDL_AsyncIOResult,"Possible outcomes of an asynchronous I/O task.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIOResult
SDL_AsyncIOTaskType,"Types of asynchronous I/O tasks.
",https://wiki.libsdl.org/SDL3/SDL_AsyncIOTaskType
SDL_AtomicDecRef,"Decrement an atomic variable used as a reference count.
",https://wiki.libsdl.org/SDL3/SDL_AtomicDecRef
SDL_AtomicIncRef,"Increment an atomic variable used as a reference count.
",https://wiki.libsdl.org/SDL3/SDL_AtomicIncRef
SDL_AtomicInt,"A type representing an atomic integer value.
",https://wiki.libsdl.org/SDL3/SDL_AtomicInt
SDL_AtomicU32,"A type representing an atomic unsigned 32-bit value.
",https://wiki.libsdl.org/SDL3/SDL_AtomicU32
SDL_AttachVirtualJoystick,"Attach a new virtual joystick.
",https://wiki.libsdl.org/SDL3/SDL_AttachVirtualJoystick
SDL_AudioDeviceEvent,"Audio device event structure (event.adevice.*)
",https://wiki.libsdl.org/SDL3/SDL_AudioDeviceEvent
SDL_AudioDeviceID,"SDL Audio Device instance IDs.
",https://wiki.libsdl.org/SDL3/SDL_AudioDeviceID
SDL_AudioDevicePaused,"Use this function to query if an audio device is paused.
",https://wiki.libsdl.org/SDL3/SDL_AudioDevicePaused
SDL_AudioFormat,"Audio format.
",https://wiki.libsdl.org/SDL3/SDL_AudioFormat
SDL_AudioIterationCallback,"A callback that fires around an audio device's processing work.
",https://wiki.libsdl.org/SDL3/SDL_AudioIterationCallback
SDL_AudioPostmixCallback,"A callback that fires when data is about to be fed to an audio device.
",https://wiki.libsdl.org/SDL3/SDL_AudioPostmixCallback
SDL_AudioSpec,"Format specifier for audio data.
",https://wiki.libsdl.org/SDL3/SDL_AudioSpec
SDL_AudioStream,"The opaque handle that represents an audio stream.
",https://wiki.libsdl.org/SDL3/SDL_AudioStream
SDL_AudioStreamCallback,"A callback that fires when data passes through an [SDL_AudioStream](SDL_AudioStream).
",https://wiki.libsdl.org/SDL3/SDL_AudioStreamCallback
SDL_AudioStreamDataCompleteCallback,"A callback that fires for completed [SDL_PutAudioStreamDataNoCopy](SDL_PutAudioStreamDataNoCopy)() data.
",https://wiki.libsdl.org/SDL3/SDL_AudioStreamDataCompleteCallback
SDL_AudioStreamDevicePaused,"Use this function to query if an audio device associated with a stream is paused.
",https://wiki.libsdl.org/SDL3/SDL_AudioStreamDevicePaused
SDL_BIG_ENDIAN,"A value to represent bigendian byteorder.
",https://wiki.libsdl.org/SDL3/SDL_BIG_ENDIAN
SDL_BITSPERPIXEL,"A macro to determine an [SDL_PixelFormat](SDL_PixelFormat)'s bits per pixel.
",https://wiki.libsdl.org/SDL3/SDL_BITSPERPIXEL
SDL_BYTEORDER,"A macro that reports the target system's byte order.
",https://wiki.libsdl.org/SDL3/SDL_BYTEORDER
SDL_BYTESPERPIXEL,"A macro to determine an [SDL_PixelFormat](SDL_PixelFormat)'s bytes per pixel.
",https://wiki.libsdl.org/SDL3/SDL_BYTESPERPIXEL
SDL_BeginGPUComputePass,"Begins a compute pass on a command buffer.
",https://wiki.libsdl.org/SDL3/SDL_BeginGPUComputePass
SDL_BeginGPUCopyPass,"Begins a copy pass on a command buffer.
",https://wiki.libsdl.org/SDL3/SDL_BeginGPUCopyPass
SDL_BeginGPURenderPass,"Begins a render pass on a command buffer.
",https://wiki.libsdl.org/SDL3/SDL_BeginGPURenderPass
SDL_BindAudioStream,"Bind a single audio stream to an audio device.
",https://wiki.libsdl.org/SDL3/SDL_BindAudioStream
SDL_BindAudioStreams,"Bind a list of audio streams to an audio device.
",https://wiki.libsdl.org/SDL3/SDL_BindAudioStreams
SDL_BindGPUComputePipeline,"Binds a compute pipeline on a command buffer for use in compute dispatch.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUComputePipeline
SDL_BindGPUComputeSamplers,"Binds texture-sampler pairs for use on the compute shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUComputeSamplers
SDL_BindGPUComputeStorageBuffers,"Binds storage buffers as readonly for use on the compute pipeline.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUComputeStorageBuffers
SDL_BindGPUComputeStorageTextures,"Binds storage textures as readonly for use on the compute pipeline.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUComputeStorageTextures
SDL_BindGPUFragmentSamplers,"Binds texture-sampler pairs for use on the fragment shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUFragmentSamplers
SDL_BindGPUFragmentStorageBuffers,"Binds storage buffers for use on the fragment shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUFragmentStorageBuffers
SDL_BindGPUFragmentStorageTextures,"Binds storage textures for use on the fragment shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUFragmentStorageTextures
SDL_BindGPUGraphicsPipeline,"Binds a graphics pipeline on a render pass to be used in rendering.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUGraphicsPipeline
SDL_BindGPUIndexBuffer,"Binds an index buffer on a command buffer for use with subsequent draw calls.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUIndexBuffer
SDL_BindGPUVertexBuffers,"Binds vertex buffers on a command buffer for use with subsequent draw calls.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUVertexBuffers
SDL_BindGPUVertexSamplers,"Binds texture-sampler pairs for use on the vertex shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUVertexSamplers
SDL_BindGPUVertexStorageBuffers,"Binds storage buffers for use on the vertex shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUVertexStorageBuffers
SDL_BindGPUVertexStorageTextures,"Binds storage textures for use on the vertex shader.
",https://wiki.libsdl.org/SDL3/SDL_BindGPUVertexStorageTextures
SDL_BitmapOrder,"Bitmap pixel order, high bit -> low bit.
",https://wiki.libsdl.org/SDL3/SDL_BitmapOrder
SDL_BlendFactor,"The normalized factor used to multiply pixel components.
",https://wiki.libsdl.org/SDL3/SDL_BlendFactor
SDL_BlendMode,"A set of blend modes used in drawing operations.
",https://wiki.libsdl.org/SDL3/SDL_BlendMode
SDL_BlendOperation,"The blend operation used when combining source and destination pixel components.
",https://wiki.libsdl.org/SDL3/SDL_BlendOperation
SDL_BlitGPUTexture,"Blits from a source texture region to a destination texture region.
",https://wiki.libsdl.org/SDL3/SDL_BlitGPUTexture
SDL_BlitSurface,"Performs a fast blit from the source surface to the destination surface with clipping.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurface
SDL_BlitSurface9Grid,"Perform a scaled blit using the 9-grid algorithm to a destination surface, which may be of a different format.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurface9Grid
SDL_BlitSurfaceScaled,"Perform a scaled blit to a destination surface, which may be of a different format.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurfaceScaled
SDL_BlitSurfaceTiled,"Perform a tiled blit to a destination surface, which may be of a different format.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurfaceTiled
SDL_BlitSurfaceTiledWithScale,"Perform a scaled and tiled blit to a destination surface, which may be of a different format.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurfaceTiledWithScale
SDL_BlitSurfaceUnchecked,"Perform low-level surface blitting only.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurfaceUnchecked
SDL_BlitSurfaceUncheckedScaled,"Perform low-level surface scaled blitting only.
",https://wiki.libsdl.org/SDL3/SDL_BlitSurfaceUncheckedScaled
SDL_BroadcastCondition,"Restart all threads that are waiting on the condition variable.
",https://wiki.libsdl.org/SDL3/SDL_BroadcastCondition
SDL_CACHELINE_SIZE,"A guess for the cacheline size used for padding.
",https://wiki.libsdl.org/SDL3/SDL_CACHELINE_SIZE
SDL_CAPABILITY,"Wrapper around Clang thread safety analysis annotations.
",https://wiki.libsdl.org/SDL3/SDL_CAPABILITY
SDL_COLORSPACECHROMA,"A macro to retrieve the chroma sample location of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACECHROMA
SDL_COLORSPACEMATRIX,"A macro to retrieve the matrix coefficients of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACEMATRIX
SDL_COLORSPACEPRIMARIES,"A macro to retrieve the primaries of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACEPRIMARIES
SDL_COLORSPACERANGE,"A macro to retrieve the range of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACERANGE
SDL_COLORSPACETRANSFER,"A macro to retrieve the transfer characteristics of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACETRANSFER
SDL_COLORSPACETYPE,"A macro to retrieve the type of an [SDL_Colorspace](SDL_Colorspace).
",https://wiki.libsdl.org/SDL3/SDL_COLORSPACETYPE
SDL_COMPILE_TIME_ASSERT,"A compile-time assertion.
",https://wiki.libsdl.org/SDL3/SDL_COMPILE_TIME_ASSERT
SDL_CPUPauseInstruction,"A macro to insert a CPU-specific ""pause"" instruction into the program.
",https://wiki.libsdl.org/SDL3/SDL_CPUPauseInstruction
SDL_CalculateGPUTextureFormatSize,"Calculate the size in bytes of a texture format with dimensions.
",https://wiki.libsdl.org/SDL3/SDL_CalculateGPUTextureFormatSize
SDL_Camera,"The opaque structure used to identify an opened SDL camera.
",https://wiki.libsdl.org/SDL3/SDL_Camera
SDL_CameraDeviceEvent,"Camera device event structure (event.cdevice.*)
",https://wiki.libsdl.org/SDL3/SDL_CameraDeviceEvent
SDL_CameraID,"This is a unique ID for a camera device for the time it is connected to the system, and is never reused for the lifetime of the application.
",https://wiki.libsdl.org/SDL3/SDL_CameraID
SDL_CameraPosition,"The position of camera in relation to system device.
",https://wiki.libsdl.org/SDL3/SDL_CameraPosition
SDL_CameraSpec,"The details of an output format for a camera device.
",https://wiki.libsdl.org/SDL3/SDL_CameraSpec
SDL_CancelGPUCommandBuffer,"Cancels a command buffer.
",https://wiki.libsdl.org/SDL3/SDL_CancelGPUCommandBuffer
SDL_Capitalization,"Auto capitalization type.
",https://wiki.libsdl.org/SDL3/SDL_Capitalization
SDL_CaptureMouse,"Capture the mouse and to track input outside an SDL window.
",https://wiki.libsdl.org/SDL3/SDL_CaptureMouse
SDL_ChromaLocation,"Colorspace chroma sample location.
",https://wiki.libsdl.org/SDL3/SDL_ChromaLocation
SDL_ClaimWindowForGPUDevice,"Claims a window, creating a swapchain structure for it.
",https://wiki.libsdl.org/SDL3/SDL_ClaimWindowForGPUDevice
SDL_CleanupPropertyCallback,"A callback used to free resources when a property is deleted.
",https://wiki.libsdl.org/SDL3/SDL_CleanupPropertyCallback
SDL_CleanupTLS,"Cleanup all TLS data for this thread.
",https://wiki.libsdl.org/SDL3/SDL_CleanupTLS
SDL_ClearAudioStream,"Clear any pending data in the stream.
",https://wiki.libsdl.org/SDL3/SDL_ClearAudioStream
SDL_ClearClipboardData,"Clear the clipboard data.
",https://wiki.libsdl.org/SDL3/SDL_ClearClipboardData
SDL_ClearComposition,"Dismiss the composition window/IME without disabling the subsystem.
",https://wiki.libsdl.org/SDL3/SDL_ClearComposition
SDL_ClearError,"Clear any previous error message for this thread.
",https://wiki.libsdl.org/SDL3/SDL_ClearError
SDL_ClearProperty,"Clear a property from a group of properties.
",https://wiki.libsdl.org/SDL3/SDL_ClearProperty
SDL_ClearSurface,"Clear a surface with a specific color, with floating point precision.
",https://wiki.libsdl.org/SDL3/SDL_ClearSurface
SDL_ClickTrayEntry,"Simulate a click on a tray entry.
",https://wiki.libsdl.org/SDL3/SDL_ClickTrayEntry
SDL_ClipboardCleanupCallback,"Callback function that will be called when the clipboard is cleared, or new data is set.
",https://wiki.libsdl.org/SDL3/SDL_ClipboardCleanupCallback
SDL_ClipboardDataCallback,"Callback function that will be called when data for the specified mime-type is requested by the OS.
",https://wiki.libsdl.org/SDL3/SDL_ClipboardDataCallback
SDL_ClipboardEvent,"An event triggered when the clipboard contents have changed (event.clipboard.*)
",https://wiki.libsdl.org/SDL3/SDL_ClipboardEvent
SDL_CloseAsyncIO,"Close and free any allocated resources for an async I/O object.
",https://wiki.libsdl.org/SDL3/SDL_CloseAsyncIO
SDL_CloseAudioDevice,"Close a previously-opened audio device.
",https://wiki.libsdl.org/SDL3/SDL_CloseAudioDevice
SDL_CloseCamera,"Use this function to shut down camera processing and close the camera device.
",https://wiki.libsdl.org/SDL3/SDL_CloseCamera
SDL_CloseGamepad,"Close a gamepad previously opened with [SDL_OpenGamepad](SDL_OpenGamepad)().
",https://wiki.libsdl.org/SDL3/SDL_CloseGamepad
SDL_CloseHaptic,"Close a haptic device previously opened with [SDL_OpenHaptic](SDL_OpenHaptic)().
",https://wiki.libsdl.org/SDL3/SDL_CloseHaptic
SDL_CloseIO,"Close and free an allocated [SDL_IOStream](SDL_IOStream) structure.
",https://wiki.libsdl.org/SDL3/SDL_CloseIO
SDL_CloseJoystick,"Close a joystick previously opened with [SDL_OpenJoystick](SDL_OpenJoystick)().
",https://wiki.libsdl.org/SDL3/SDL_CloseJoystick
SDL_CloseSensor,"Close a sensor previously opened with [SDL_OpenSensor](SDL_OpenSensor)().
",https://wiki.libsdl.org/SDL3/SDL_CloseSensor
SDL_CloseStorage,"Closes and frees a storage container.
",https://wiki.libsdl.org/SDL3/SDL_CloseStorage
SDL_Color,"A structure that represents a color as RGBA components.
",https://wiki.libsdl.org/SDL3/SDL_Color
SDL_ColorPrimaries,"Colorspace color primaries, as described by https://www.itu.int/rec/T-REC-H.273-201612-S/en
",https://wiki.libsdl.org/SDL3/SDL_ColorPrimaries
SDL_ColorRange,"Colorspace color range, as described by https://www.itu.int/rec/R-REC-BT.2100-2-201807-I/en
",https://wiki.libsdl.org/SDL3/SDL_ColorRange
SDL_ColorType,"Colorspace color type.
",https://wiki.libsdl.org/SDL3/SDL_ColorType
SDL_Colorspace,"Colorspace definitions.
",https://wiki.libsdl.org/SDL3/SDL_Colorspace
SDL_CommonEvent,"Fields shared by every event
",https://wiki.libsdl.org/SDL3/SDL_CommonEvent
SDL_CompareAndSwapAtomicInt,"Set an atomic variable to a new value if it is currently an old value.
",https://wiki.libsdl.org/SDL3/SDL_CompareAndSwapAtomicInt
SDL_CompareAndSwapAtomicPointer,"Set a pointer to a new value if it is currently an old value.
",https://wiki.libsdl.org/SDL3/SDL_CompareAndSwapAtomicPointer
SDL_CompareAndSwapAtomicU32,"Set an atomic variable to a new value if it is currently an old value.
",https://wiki.libsdl.org/SDL3/SDL_CompareAndSwapAtomicU32
SDL_CompareCallback,"A callback used with SDL sorting and binary search functions.
",https://wiki.libsdl.org/SDL3/SDL_CompareCallback
SDL_CompareCallback_r,"A callback used with SDL sorting and binary search functions.
",https://wiki.libsdl.org/SDL3/SDL_CompareCallback_r
SDL_CompilerBarrier,"Mark a compiler barrier.
",https://wiki.libsdl.org/SDL3/SDL_CompilerBarrier
SDL_ComposeCustomBlendMode,"Compose a custom blend mode for renderers.
",https://wiki.libsdl.org/SDL3/SDL_ComposeCustomBlendMode
SDL_Condition,"A means to block multiple threads until a condition is satisfied.
",https://wiki.libsdl.org/SDL3/SDL_Condition
SDL_ConvertAudioSamples,"Convert some audio data of one format to another format.
",https://wiki.libsdl.org/SDL3/SDL_ConvertAudioSamples
SDL_ConvertEventToRenderCoordinates,"Convert the coordinates in an event to render coordinates.
",https://wiki.libsdl.org/SDL3/SDL_ConvertEventToRenderCoordinates
SDL_ConvertPixels,"Copy a block of pixels of one format to another format.
",https://wiki.libsdl.org/SDL3/SDL_ConvertPixels
SDL_ConvertPixelsAndColorspace,"Copy a block of pixels of one format and colorspace to another format and colorspace.
",https://wiki.libsdl.org/SDL3/SDL_ConvertPixelsAndColorspace
SDL_ConvertSurface,"Copy an existing surface to a new surface of the specified format.
",https://wiki.libsdl.org/SDL3/SDL_ConvertSurface
SDL_ConvertSurfaceAndColorspace,"Copy an existing surface to a new surface of the specified format and colorspace.
",https://wiki.libsdl.org/SDL3/SDL_ConvertSurfaceAndColorspace
SDL_CopyFile,"Copy a file.
",https://wiki.libsdl.org/SDL3/SDL_CopyFile
SDL_CopyGPUBufferToBuffer,"Performs a buffer-to-buffer copy.
",https://wiki.libsdl.org/SDL3/SDL_CopyGPUBufferToBuffer
SDL_CopyGPUTextureToTexture,"Performs a texture-to-texture copy.
",https://wiki.libsdl.org/SDL3/SDL_CopyGPUTextureToTexture
SDL_CopyProperties,"Copy a group of properties.
",https://wiki.libsdl.org/SDL3/SDL_CopyProperties
SDL_CopyStorageFile,"Copy a file in a writable storage container.
",https://wiki.libsdl.org/SDL3/SDL_CopyStorageFile
SDL_CreateAsyncIOQueue,"Create a task queue for tracking multiple I/O operations.
",https://wiki.libsdl.org/SDL3/SDL_CreateAsyncIOQueue
SDL_CreateAudioStream,"Create a new audio stream.
",https://wiki.libsdl.org/SDL3/SDL_CreateAudioStream
SDL_CreateColorCursor,"Create a color cursor.
",https://wiki.libsdl.org/SDL3/SDL_CreateColorCursor
SDL_CreateCondition,"Create a condition variable.
",https://wiki.libsdl.org/SDL3/SDL_CreateCondition
SDL_CreateCursor,"Create a cursor using the specified bitmap data and mask (in MSB format).
",https://wiki.libsdl.org/SDL3/SDL_CreateCursor
